,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,service,landuse,width,access,bridge,area,ref,junction
16,5433799000,5433797975,2,563908859,False,3.917,"LINESTRING (103.9097335 1.4061828, 103.9097226 1.4061493)",,,,,,,,,,,,,
17,5433799000,5433797982,0,563908859,False,55.207,"LINESTRING (103.9097335 1.4061828, 103.9097878 1.4061631, 103.9098106 1.4061531, 103.909834 1.4061229, 103.9099078 1.406137, 103.9099413 1.406137, 103.9099815 1.4061108, 103.9100863 1.4059184)",,,,,,,,,,,,,
18,373096523,369175567,0,74477406,True,16.394,"LINESTRING (103.9168727 1.3953907, 103.9167883 1.3952698)",Punggol East,primary,50,,,,,,,,,,
19,373096523,6192623093,0,682831299,True,9.809,"LINESTRING (103.9168727 1.3953907, 103.9169447 1.3953397)",Punggol Central,tertiary,60,3,,,,,,,,,
20,373096527,2274874105,0,166527473,True,34.565,"LINESTRING (103.9167131 1.3955063, 103.9168995 1.3957551)",Punggol East,primary,50,3,,,,,,,,,
21,373096527,373096523,0,534636066,True,21.909,"LINESTRING (103.9167131 1.3955063, 103.9168727 1.3953907)",Punggol Central,tertiary,60,,,,,,,,,,
22,373096533,411102684,0,534638684,True,11.633,"LINESTRING (103.9129423 1.3982171, 103.913025 1.398153)",Punggol Central,tertiary,60,,,,,,,,,,
23,373096533,2274876548,0,635693449,True,37.766,"LINESTRING (103.9129423 1.3982171, 103.9131396 1.3984936)",Edgedale Plains,residential,40,2,,,,,,,,,
24,5433799007,5433799006,0,563908854,False,1.519,"LINESTRING (103.9095619 1.4062761, 103.9095577 1.4062631)",,,,,,,,,,,,,
25,5433799007,5433799006,1,563908858,False,1.519,"LINESTRING (103.9095619 1.4062761, 103.9095577 1.4062631)",,,,,,,,,,,,,
26,5433799007,5433799008,0,563908854,False,7.365,"LINESTRING (103.9095619 1.4062761, 103.9096249 1.4062556)",,,,,,,,,,,,,
27,5433799007,5433799008,1,563908858,False,7.365,"LINESTRING (103.9095619 1.4062761, 103.9096249 1.4062556)",,,,,,,,,,,,,
28,5433799008,5433799007,0,563908854,False,7.365,"LINESTRING (103.9096249 1.4062556, 103.9095619 1.4062761)",,,,,,,,,,,,,
29,5433799008,5433799007,1,563908858,False,7.365,"LINESTRING (103.9096249 1.4062556, 103.9095619 1.4062761)",,,,,,,,,,,,,
30,5433799008,5433799009,0,563908854,False,3.017,"LINESTRING (103.9096249 1.4062556, 103.9096333 1.4062814)",,,,,,,,,,,,,
31,5433799008,5433799009,1,563908858,False,3.017,"LINESTRING (103.9096249 1.4062556, 103.9096333 1.4062814)",,,,,,,,,,,,,
32,6791757944,6193992054,0,661626786,False,6.13,"LINESTRING (103.9001327 1.3935089, 103.9001054 1.3935568)",,footway,,,,,,,,,,,
33,6791757944,5177295493,0,724195995,False,13.758,"LINESTRING (103.9001327 1.3935089, 103.9002556 1.3934943)",,footway,,,,,,,,,,,
34,6791757944,6791757945,0,661626786,False,28.804000000000002,"LINESTRING (103.9001327 1.3935089, 103.9001647 1.39346, 103.9001674 1.393448, 103.9001217 1.3933554, 103.9000972 1.3933427, 103.9000407 1.3933322)",,footway,,,,,,,,,,,
35,6791757945,6791757944,0,661626786,False,28.804,"LINESTRING (103.9000407 1.3933322, 103.9000972 1.3933427, 103.9001217 1.3933554, 103.9001674 1.393448, 103.9001647 1.39346, 103.9001327 1.3935089)",,footway,,,,,,,,,,,
36,5433799010,5433799128,0,563908854,False,5.133,"LINESTRING (103.9095718 1.4063166, 103.9095279 1.4063309)",,,,,,,,,,,,,
37,5433799010,5433799128,1,563908858,False,5.133,"LINESTRING (103.9095718 1.4063166, 103.9095279 1.4063309)",,,,,,,,,,,,,
38,5433799010,5433799011,0,563908854,False,1.611,"LINESTRING (103.9095718 1.4063166, 103.9095762 1.4063304)",,,,,,,,,,,,,
39,5433799010,5433799011,1,563908858,False,1.611,"LINESTRING (103.9095718 1.4063166, 103.9095762 1.4063304)",,,,,,,,,,,,,
40,4702863508,5083408487,0,521768363,False,4.432,"LINESTRING (103.9023321 1.4055681, 103.9022975 1.4055879)",,footway,,,,,,,,,,,
41,4702863508,1712383787,0,521768364,False,1.997,"LINESTRING (103.9023321 1.4055681, 103.9023466 1.4055575)",,footway,,,,,,,,,,,
42,4702863508,4702863509,0,"[476843579, 476843581, 476843583]",False,60.279,"LINESTRING (103.9023321 1.4055681, 103.9023139 1.4055316, 103.902095 1.4051274, 103.9020745 1.4050911)",,"['footway', 'steps']",,,yes,,,,,,,,
43,4702863508,6543124543,0,696735682,False,23.928,"LINESTRING (103.9023321 1.4055681, 103.9023037 1.4055327, 103.9022239 1.4053828)",,footway,,,,,,,,,,,
44,4702863509,1712383734,0,521768362,False,70.092,"LINESTRING (103.9020745 1.4050911, 103.9017858 1.4045307)",,footway,,,,,,,,,,,
45,4702863509,4702863508,0,"[476843579, 476843581, 476843583]",False,60.278999999999996,"LINESTRING (103.9020745 1.4050911, 103.902095 1.4051274, 103.9023139 1.4055316, 103.9023321 1.4055681)",,"['footway', 'steps']",,,yes,,,,,,,,
46,4702863509,4699894302,0,696735681,False,21.407,"LINESTRING (103.9020745 1.4050911, 103.9020866 1.4051341, 103.9021594 1.4052628)",,footway,,,,,,,,,,,
47,4702863510,4702863522,0,476843587,False,26.443,"LINESTRING (103.9028635 1.4056463, 103.9029779 1.4058548)",,footway,,,,,,,,,,,
48,4702863510,6791669639,0,476843584,False,154.489,"LINESTRING (103.9028635 1.4056463, 103.9030003 1.4055947, 103.9031573 1.4055476, 103.9032435 1.4055158, 103.903373 1.4054714, 103.903487 1.4054512, 103.9036014 1.4054288, 103.9037495 1.4053952, 103.9038567 1.4053666, 103.9039424 1.4053491, 103.9040503 1.4053225, 103.9041052 1.4053163, 103.9041746 1.4053158, 103.9042054 1.4053259)",,footway,,,,,,,,,,,
