,y,x,osmid,highway,ref,geometry
4724598090,1.3875114,103.904787,4724598090,,,POINT (103.904787 1.3875114)
369173840,1.3998056,103.8980199,369173840,,,POINT (103.8980199 1.3998056)
5218788690,1.4132632,103.9009328,5218788690,,,POINT (103.9009328 1.4132632)
4604732761,1.4152816,103.9040598,4604732761,,,POINT (103.9040598 1.4152816)
4430972250,1.3863446,103.907118,4430972250,,,POINT (103.907118 1.3863446)
5218788701,1.4122174,103.9004688,5218788701,,,POINT (103.9004688 1.4122174)
4430972254,1.3867283,103.907802,4430972254,,,POINT (103.907802 1.3867283)
5243446895,1.3844122,103.9011423,5243446895,,,POINT (103.9011423 1.3844122)
5218788704,1.4130451,103.9002703,5218788704,,,POINT (103.9002703 1.4130451)
4430972257,1.386802,103.9072858,4430972257,,,POINT (103.9072858 1.386802)
5218788705,1.4131266,103.9002945,5218788705,,,POINT (103.9002945 1.4131266)
4604732771,1.4221519,103.8885638,4604732771,,,POINT (103.8885638 1.4221519)
4430972260,1.3869217,103.907319,4430972260,,,POINT (103.907319 1.3869217)
1166755173,1.3951853,103.9060462,1166755173,,,POINT (103.9060462 1.3951853)
375473509,1.3929136,103.8873846,375473509,,,POINT (103.8873846 1.3929136)
4430972261,1.3884376,103.8944233,4430972261,,,POINT (103.8944233 1.3884376)
4604732776,1.4227738,103.8884491,4604732776,,,POINT (103.8884491 1.4227738)
375473512,1.3916647,103.8896871,375473512,,,POINT (103.8896871 1.3916647)
4430972266,1.3885875,103.8948328,4430972266,,,POINT (103.8948328 1.3885875)
4430972262,1.3884837,103.8942674,4430972262,,,POINT (103.8942674 1.3884837)
4430972268,1.3888192,103.8941189,4430972268,,,POINT (103.8941189 1.3888192)
4604732781,1.4165333,103.8936157,4604732781,,,POINT (103.8936157 1.4165333)
4430972269,1.389179,103.8923289,4430972269,,,POINT (103.8923289 1.389179)
4430972271,1.3892103,103.8921595,4430972271,,,POINT (103.8921595 1.3892103)
4604732785,1.4161076,103.8936311,4604732785,,,POINT (103.8936311 1.4161076)
6807332210,1.3833869,103.8896509,6807332210,,,POINT (103.8896509 1.3833869)
5243446899,1.383663,103.9013331,5243446899,,,POINT (103.9013331 1.383663)
4430972275,1.3899111,103.8851755,4430972275,,,POINT (103.8851755 1.3899111)
133662069,1.4014427,103.8808386,133662069,,,POINT (103.8808386 1.4014427)
4430972278,1.392948,103.8935915,4430972278,,,POINT (103.8935915 1.392948)
4430972279,1.3929748,103.8934691,4430972279,,,POINT (103.8934691 1.3929748)
5243446900,1.3840623,103.9016359,5243446900,,,POINT (103.9016359 1.3840623)
4430972276,1.3899249,103.8854805,4430972276,,,POINT (103.8854805 1.3899249)
4430972277,1.3899366,103.8855557,4430972277,,,POINT (103.8855557 1.3899366)
6807332211,1.3834978,103.8895002,6807332211,,,POINT (103.8895002 1.3834978)
4430972284,1.3931317,103.8941311,4430972284,,,POINT (103.8941311 1.3931317)
4430972285,1.3932391,103.8933947,4430972285,crossing,,POINT (103.8933947 1.3932391)
4430972286,1.3932787,103.8940567,4430972286,,,POINT (103.8940567 1.3932787)
133662081,1.4005659,103.8925021,133662081,motorway_junction,10,POINT (103.8925021 1.4005659)
4005070212,1.4079536,103.8968334,4005070212,,,POINT (103.8968334 1.4079536)
6036101973,1.3923381,103.8957574,6036101973,,,POINT (103.8957574 1.3923381)
4946665702,1.4171607,103.9061918,4946665702,,,POINT (103.9061918 1.4171607)
135079306,1.4003965,103.8921205,135079306,,,POINT (103.8921205 1.4003965)
5248148876,1.3905435,103.8954683,5248148876,,,POINT (103.8954683 1.3905435)
4005070231,1.4079253,103.8978443,4005070231,,,POINT (103.8978443 1.4079253)
378717591,1.3887655,103.8886446,378717591,,,POINT (103.8886446 1.3887655)
