,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,landuse,service,access,area,bridge,ref,junction,width
109,3782025046,3782025045,0,374822604,False,9.163,"LINESTRING (103.9237096 1.410755099999983, 103.9237648 1.410693899999993)",,,,,,,,,,,,,
110,3782025046,3782025045,1,374829693,False,9.163,"LINESTRING (103.9237096 1.410755099999983, 103.9237648 1.410693899999993)",Coastline of Singapore,,,,,,,,,,,,
111,3782025047,3782025046,0,374822604,False,10.414,"LINESTRING (103.923677 1.410842899999996, 103.9237096 1.410755099999983)",,,,,,,,,,,,,
112,3782025047,3782025046,1,374829693,False,10.414,"LINESTRING (103.923677 1.410842899999996, 103.9237096 1.410755099999983)",Coastline of Singapore,,,,,,,,,,,,
113,4004972061,4004972061,0,397579045,False,450.79100000000005,"LINESTRING (103.8908959 1.401233099999999, 103.892187 1.401077799999976, 103.8922513 1.401066599999988, 103.8923138 1.40110009999998, 103.8923428 1.401152299999976, 103.8923419 1.401222299999996, 103.8923092 1.401273599999989, 103.8922541 1.401300599999988, 103.8922084 1.401295999999992, 103.8921609 1.401277299999991, 103.8921339 1.401248400000002, 103.8907197 1.401418099999988, 103.8906963 1.401461999999987, 103.8906516 1.401491799999989, 103.8906142 1.401502099999987, 103.8905695 1.401497399999986, 103.8905285 1.401468399999988, 103.8904958 1.401417199999993, 103.890494 1.401350999999982, 103.8905181 1.401312699999982, 103.8905583 1.401273599999989, 103.8908959 1.401233099999999)",,,,,,,,,,,,,
114,4004972062,4004972061,0,644919804,False,57.153999999999996,"LINESTRING (103.8904411 1.401272799999996, 103.8905571 1.401208699999994, 103.8908566 1.401165699999985, 103.8908718 1.401180799999983, 103.8908959 1.401233099999999)",,service,,,,,driveway,,,,,,
115,4004972128,4004972127,0,"[704822891, 704822892, 644923165]",False,75.243,"LINESTRING (103.8983845 1.399906999999997, 103.8986975 1.399795499999986, 103.8988334 1.399743600000001, 103.8988658 1.399749899999982, 103.8988836 1.399767499999996, 103.8989282 1.399901299999982)",,service,,2,,,driveway,,,,,,
116,4004972129,4004972128,0,397719182,False,4.097,"LINESTRING (103.8983966 1.399941799999986, 103.8983845 1.399906999999997)",,service,,,,,driveway,,,,,,
117,4004972129,4004972129,0,397459088,False,210.08,"LINESTRING (103.8983966 1.399941799999986, 103.8988407 1.399777999999998, 103.8988979 1.3999332, 103.8988049 1.399967499999994, 103.8988602 1.400117599999993, 103.8984785 1.400258399999982, 103.8984182 1.400095199999986, 103.8983118 1.400134399999989, 103.8982594 1.399992399999985, 103.8983966 1.399941799999986)",,,,,,,,,,,,,
118,4004972141,4004972133,0,397719183,False,9.469,"LINESTRING (103.8946423 1.400911799999993, 103.8946475 1.400826799999993)",,service,,,,,driveway,,,,,,
119,4004972142,4004972133,0,644950973,False,78.58,"LINESTRING (103.8939425 1.400878599999984, 103.8946475 1.400826799999993)",,service,,,,,driveway,,,,,,
120,4004972143,4004972142,0,645251971,False,19.878,"LINESTRING (103.8937659 1.400906699999979, 103.8939425 1.400878599999984)",,service,,,,,driveway,,,,,,
121,4004972144,4004972141,0,397579026,False,77.471,"LINESTRING (103.8939472 1.400962099999991, 103.8946423 1.400911799999993)",,,,,,,,,,,,,
122,4004972144,4004972141,1,397579026,False,217.96599999999998,"LINESTRING (103.8939472 1.400962099999991, 103.8937692 1.400974899999995, 103.8937937 1.401313599999984, 103.8947803 1.401242299999984, 103.8947558 1.400903599999983, 103.8946423 1.400911799999993)",,,,,,,,,,,,,
123,4004972144,4004972142,0,397719180,False,9.299,"LINESTRING (103.8939472 1.400962099999991, 103.8939425 1.400878599999984)",,service,,,,,driveway,,,,,,
124,4004972147,2274881092,0,645254818,True,29.357,"LINESTRING (103.8981428 1.401180199999986, 103.8983903 1.401088099999986)",Punggol Walk,residential,40,1,,,,,,,,,
125,5678944660,5678944656,3,692582758,False,32.296,"LINESTRING (103.8988657 1.403759099999995, 103.8989489 1.40370539999999, 103.8990132 1.403708099999998, 103.8990669 1.40371879999999, 103.899112 1.403775399999996)",,footway,,,,,,,,,,,
126,5177295493,6791757944,0,724195995,False,13.758,"LINESTRING (103.9002556 1.393494299999989, 103.9001327 1.393508899999981)",,footway,,,,,,,,,,,
127,5678944683,5678944660,0,596005789,False,46.620000000000005,"LINESTRING (103.8991671 1.403845400000002, 103.899142 1.403866299999998, 103.8991098 1.4038878, 103.8990588 1.403919899999982, 103.8990079 1.403919899999982, 103.8989542 1.40389849999999, 103.8989033 1.403876999999983, 103.8988657 1.403759099999995)",,footway,,,,,,,,,,,
128,5678944683,5678944656,2,596005787,False,10.553,"LINESTRING (103.8991671 1.403845400000002, 103.8991313 1.403826099999991, 103.899112 1.403775399999996)",,footway,,,,,,,,,,,
129,5256644348,5256644347,0,543778902,False,37.168,"LINESTRING (103.923356 1.38695889999999, 103.9236903 1.386952799999989)",,service,,,,,,,,,,,
130,5361698709,4004972145,0,645252468,False,17.708,"LINESTRING (103.8981317 1.401143899999989, 103.898082 1.400992599999997)",,service,,2,,,driveway,,,,,,
131,5361698709,4004972147,0,555777402,False,4.221,"LINESTRING (103.8981317 1.401143899999989, 103.8981428 1.401180199999986)",,service,,2,,,driveway,,,,,,
