,u,v,key,osmid,lanes,highway,oneway,length,geometry,service,name,maxspeed,width,bridge,tunnel,access,ref,junction
1417,5177230488,5177230489,0,646202052,,service,False,181.55,"LINESTRING (103.8880507 1.3876732, 103.8866599 1.3885291)",,,,,,,,,
1418,5177230488,5177230480,0,656197762,,service,False,105.052,"LINESTRING (103.8880507 1.3876732, 103.8875378 1.3868797)",,,,,,,,,
1419,3789907099,3789907103,0,375638843,,cycleway,False,95.821,"LINESTRING (103.9208417 1.4116532, 103.9207171 1.4114498, 103.9206532 1.4112975, 103.9205883 1.411241, 103.9205146 1.4112008, 103.9202343 1.4111338)",,,,,,,,,
1420,3789907099,5161898660,0,375638843,,cycleway,False,429.55499999999995,"LINESTRING (103.9208417 1.4116532, 103.9209102 1.4117451, 103.9211382 1.4118242, 103.9211932 1.4118685, 103.9212187 1.4119315, 103.921212 1.4121406, 103.9212334 1.4122224, 103.9212656 1.4122921, 103.9212669 1.4123297, 103.9212522 1.4123498, 103.9212213 1.4123578, 103.9210188 1.4123109, 103.9209223 1.4122908, 103.920823 1.4122975, 103.9207225 1.4123243, 103.9206139 1.4124273, 103.920473 1.4126139, 103.9203629 1.4127104, 103.920245 1.4127869, 103.9199701 1.412882, 103.9197837 1.4130067, 103.919726 1.4130604, 103.9196442 1.413173, 103.9195932 1.4132172, 103.9194497 1.4132843, 103.9194095 1.4133231, 103.9192405 1.4136395, 103.9191855 1.413724, 103.9191145 1.413791, 103.9189771 1.4138554)",,,,,,,,,
1421,3789907099,4008733349,0,398092536,,footway,False,214.883,"LINESTRING (103.9208417 1.4116532, 103.920949 1.4114843, 103.9210107 1.4112752, 103.9210376 1.4111491, 103.9211073 1.4110875, 103.9212387 1.4110848, 103.9214077 1.4110553, 103.9215767 1.4110151, 103.921692 1.4109534, 103.9218368 1.4108247, 103.9220836 1.4108006, 103.9222982 1.4106853)",,Haw Par Beach Villa,,,,,private,,
1422,5177230489,5177230488,0,646202052,,service,False,181.55,"LINESTRING (103.8866599 1.3885291, 103.8880507 1.3876732)",,,,,,,,,
1423,3789907103,6696315170,0,375638851,,track,False,7.775,"LINESTRING (103.9202343 1.4111338, 103.9202836 1.4110842)",,Main Path,,,,,,,
1424,3789907103,3789907099,0,375638843,,cycleway,False,95.821,"LINESTRING (103.9202343 1.4111338, 103.9205146 1.4112008, 103.9205883 1.411241, 103.9206532 1.4112975, 103.9207171 1.4114498, 103.9208417 1.4116532)",,,,,,,,,
1425,3789907103,1905780488,0,375638851,,track,False,202.788,"LINESTRING (103.9202343 1.4111338, 103.9199699 1.4113929, 103.9196616 1.411685, 103.9192015 1.4120893, 103.919044 1.4122147, 103.918867 1.4123373)",,Main Path,,,,,,,
1426,3058336928,3058336929,0,301736729,,footway,False,130.96,"LINESTRING (103.9052272 1.4100658, 103.9058167 1.4110855)",,,,,,,,,
1427,3058336928,4541496570,0,301736729,,footway,False,13.355,"LINESTRING (103.9052272 1.4100658, 103.9051654 1.4099628)",,,,,,,,,
1428,3058336928,4884878978,0,"[720099565, 720099566]",2,residential,True,117.77699999999999,"LINESTRING (103.9052272 1.4100658, 103.9055915 1.4098654, 103.9057463 1.4097388, 103.9058396 1.4096187, 103.9059167 1.4094967, 103.9059703 1.4093596)",,Sentul Crescent,50,,,,,,
1429,3058336929,3058336928,0,301736729,,footway,False,130.96,"LINESTRING (103.9058167 1.4110855, 103.9052272 1.4100658)",,,,,,,,,
